ustt,utc,lon,lat,height
1496002102,1.69512399400035E+018,54316008,514079767,65833
1496502103,1.69512399450035E+018,54315486,514080673,65971
1497002065,1.69512399500035E+018,54314994,514081591,66163
1497502066,1.69512399550035E+018,54314533,514082524,66353
1498002028,1.69512399600035E+018,54314108,514083472,66563
1498502028,1.69512399650035E+018,54313708,514084432,66797
1499001991,1.69512399700036E+018,54313320,514085399,67067
1499501992,1.69512399750036E+018,54312941,514086371,67370
1500001955,1.69512399800036E+018,54312575,514087347,67667
1500501955,1.69512399850036E+018,54312229,514088331,67974
1501001918,1.69512399900036E+018,54311896,514089318,68207
1501501919,1.69512399950036E+018,54311574,514090308,68420
1502001882,1.69512400000036E+018,54311266,514091299,68655
1502501882,1.69512400050036E+018,54310975,514092293,68878
1503001845,1.69512400100036E+018,54310704,514093290,69049
1503501846,1.69512400150036E+018,54310450,514094285,69247
1504001808,1.69512400200036E+018,54310208,514095280,69397
1504501808,1.69512400250036E+018,54309974,514096279,69543
1505001771,1.69512400300036E+018,54309746,514097279,69642
1505501772,1.69512400350036E+018,54309527,514098277,69724
1506001735,1.69512400400037E+018,54309317,514099274,69794
1506501736,1.69512400450037E+018,54309119,514100269,69796
1507001698,1.69512400500037E+018,54308932,514101259,69775
1507501699,1.69512400550037E+018,54308744,514102246,69779
1508001662,1.69512400600037E+018,54308545,514103232,69799
1508501663,1.69512400650037E+018,54308338,514104218,69781
1509001625,1.69512400700037E+018,54308122,514105200,69839
1509501626,1.69512400750037E+018,54307898,514106181,69925
1510001588,1.69512400800037E+018,54307673,514107159,69992
1510501589,1.69512400850037E+018,54307446,514108138,70036
1511001551,1.69512400900037E+018,54307220,514109117,70036
1511501552,1.69512400950037E+018,54307003,514110091,70078
1512001515,1.69512401000037E+018,54306784,514111061,69936
1512501516,1.69512401050038E+018,54306569,514112020,69918
1513001478,1.69512401100038E+018,54306364,514112980,69879
1513501479,1.69512401150038E+018,54306162,514113936,69825
1514001442,1.69512401200038E+018,54305969,514114890,69808
1514501443,1.69512401250038E+018,54305771,514115841,69798
1515001406,1.69512401300038E+018,54305553,514116795,69678
